protocol,trials,handshake_wall_ms_mean,handshake_wall_ms_median,handshake_wall_ms_stdev,handshake_wall_ms_p95,transaction_wall_ms_mean,transaction_wall_ms_median,transaction_wall_ms_stdev,transaction_wall_ms_p95,total_wall_ms_mean,total_wall_ms_median,total_wall_ms_stdev,total_wall_ms_p95,handshake_cpu_ms_mean,handshake_cpu_ms_median,handshake_cpu_ms_stdev,handshake_cpu_ms_p95,transaction_cpu_ms_mean,transaction_cpu_ms_median,transaction_cpu_ms_stdev,transaction_cpu_ms_p95,handshake_peak_kib_mean,handshake_peak_kib_median,handshake_peak_kib_stdev,handshake_peak_kib_p95,transaction_peak_kib_mean,transaction_peak_kib_median,transaction_peak_kib_stdev,transaction_peak_kib_p95,handshake_bytes_sent_mean,handshake_bytes_sent_median,handshake_bytes_sent_stdev,handshake_bytes_sent_p95,transaction_bytes_sent_mean,transaction_bytes_sent_median,transaction_bytes_sent_stdev,transaction_bytes_sent_p95,total_bytes_sent_mean,total_bytes_sent_median,total_bytes_sent_stdev,total_bytes_sent_p95,handshake_send_calls_mean,handshake_send_calls_median,handshake_send_calls_stdev,handshake_send_calls_p95,transaction_send_calls_mean,transaction_send_calls_median,transaction_send_calls_stdev,transaction_send_calls_p95
ECC PKI,20,17.6162332,17.2842015,1.538992936465737,18.552781700000004,1.11610905,1.0383200000000001,0.20521181004987196,1.5195505000000002,18.73234225,18.433144000000002,1.5307478730684105,19.596826600000004,17.39433995,17.239775,1.0796410234726646,18.41782905,1.09531575,1.0731335,0.10796676690970332,1.3172276,48.44111328125,34.37109375,66.11085860944596,50.91572265625021,8.50478515625,8.4404296875,0.5412671663569711,9.265869140625,2034.0,2034.0,0.0,2034.0,71.0,71.0,0.0,71.0,2105.0,2105.0,0.0,2105.0,16.0,16.0,0.0,16.0,2.0,2.0,0.0,2.0
Hybrid-PQ PKI,20,144.7936484,144.188993,8.154839759336975,157.91006435,4.30043875,4.075438999999999,0.5437229138904905,5.0875973000000005,149.09408715,148.264432,8.295983879368663,162.22410870000002,144.11409615,143.9446415,7.649198964756,157.6924853,4.2079191,4.012454,0.4910899710567462,4.943415150000001,25.54365234375,24.8203125,2.9249000271397665,26.29599609375001,10.665087890625,10.412109375,1.1453548778265403,11.341113281250003,3645.0,3645.0,0.0,3645.0,65.0,65.0,0.0,65.0,3710.0,3710.0,0.0,3710.0,6.0,6.0,0.0,6.0,2.0,2.0,0.0,2.0
PSK/password,20,384.9284027,386.245925,26.945015175589962,426.2348886,4.51703395,4.5254535,0.5944202753265682,5.342554150000001,389.44543665000003,390.1519115,27.041915946997207,430.81393025,383.64354885,383.6385945,26.96517302094531,425.87590005,4.40813615,4.481033999999999,0.5010319746856456,5.23598735,15.283935546875,14.251953125,4.421580664707304,16.047216796875013,10.80810546875,10.4189453125,1.1103964953095442,11.566699218750003,342.0,342.0,0.0,342.0,65.0,65.0,0.0,65.0,407.0,407.0,0.0,407.0,6.0,6.0,0.0,6.0,2.0,2.0,0.0,2.0
