protocol,trial,handshake_wall_ms,transaction_wall_ms,total_wall_ms,handshake_cpu_ms,transaction_cpu_ms,total_cpu_ms,handshake_peak_kib,transaction_peak_kib,total_peak_kib,handshake_bytes_sent,transaction_bytes_sent,total_bytes_sent,handshake_send_calls,transaction_send_calls,total_send_calls,read_values
PSK/password,13,361.436707,4.5472,365.983907,361.143094,4.524007,365.667101,14.263671875,10.6689453125,14.263671875,342,65,407,6,2,8,"20,30,40"
PSK/password,14,386.279085,3.999377,390.278462,384.295919,3.987908,388.28382700000003,14.271484375,10.7080078125,14.271484375,342,65,407,6,2,8,"20,30,40"
PSK/password,15,386.212765,3.812596,390.025361,382.98127,3.734759,386.716029,14.263671875,10.4189453125,14.263671875,342,65,407,6,2,8,"20,30,40"
PSK/password,16,338.496778,4.275922,342.7727,338.007287,4.183647,342.190934,14.232421875,10.4189453125,14.232421875,342,65,407,6,2,8,"20,30,40"
PSK/password,17,404.050716,3.847215,407.897931,403.684946,3.65015,407.335096,14.267578125,10.6689453125,14.267578125,342,65,407,6,2,8,"20,30,40"
PSK/password,18,352.228522,5.292077,357.520599,351.06031,5.368994,356.429304,14.248046875,10.4189453125,14.248046875,342,65,407,6,2,8,"20,30,40"
PSK/password,19,355.174447,4.764218,359.938665,351.387627,4.67109,356.058717,14.255859375,10.4189453125,14.255859375,342,65,407,6,2,8,"20,30,40"
PSK/password,20,381.986691,3.847003,385.833694,378.472041,3.813723,382.285764,14.267578125,10.4189453125,14.267578125,342,65,407,6,2,8,"20,30,40"
Hybrid-PQ PKI,1,136.204477,3.894852,140.099329,136.147185,3.863904,140.011089,37.931640625,15.3544921875,37.931640625,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,2,148.261686,4.876417,153.138103,147.790943,4.674423,152.465366,25.68359375,10.8408203125,25.68359375,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,3,145.135961,4.140832,149.276793,144.752352,4.083269,148.835621,24.80859375,11.1298828125,24.80859375,3645,65,3710,6,2,8,"20,30,40"
