protocol,trial,handshake_wall_ms,transaction_wall_ms,total_wall_ms,handshake_cpu_ms,transaction_cpu_ms,total_cpu_ms,handshake_peak_kib,transaction_peak_kib,total_peak_kib,handshake_bytes_sent,transaction_bytes_sent,total_bytes_sent,handshake_send_calls,transaction_send_calls,total_send_calls,read_values
ECC PKI,1,23.122293,1.92908,25.051372999999998,22.847781,1.758326,24.606107,329.318359375,10.40234375,329.318359375,2034,71,2105,16,2,18,"20,30,40"
ECC PKI,2,18.956598,1.197339,20.153937,18.833612,1.070764,19.904376,33.6884765625,8.759765625,33.6884765625,2034,71,2105,16,2,18,"20,30,40"
PSK/password,1,362.882132,3.994018,366.87615,360.725398,3.859936,364.585334,34.3955078125,15.4453125,34.3955078125,342,65,407,6,2,8,"20,30,40"
PSK/password,2,360.853806,4.109077,364.96288300000003,358.115919,3.950821,362.06674000000004,15.107421875,11.359375,15.107421875,342,65,407,6,2,8,"20,30,40"
Hybrid-PQ PKI,1,147.248021,4.244877,151.492898,147.169608,4.124326,151.293934,38.35546875,15.3505859375,38.35546875,3645,65,3710,6,2,8,"20,30,40"
Hybrid-PQ PKI,2,156.927562,4.189269,161.116831,155.154312,4.154184,159.308496,25.65625,10.8408203125,25.65625,3645,65,3710,6,2,8,"20,30,40"
